Name, time, ang1, ang2, ang3, edg1, edg2, edg3, orn1, orn2, orn3, vel1, vel2, vel3, fang1, fang2, fang3
00D00BD2,99081,180.1952362060547, 105.32150268554688, 180.0,0, 0, 0,0, 0, 0,0.63751620054245, -3.111058249909886e+22, 1.8747972154201728e-41,178.89788818359375, 102.26234436035156, 185.03463745117188
00D00BD2,99111,180.188232421875, 105.34140014648438, 180.0,0, 0, 0,0, 0, 0,-2.7457727156515024e+36, -6.950387820836568e-09, 1.8747972154201728e-41,178.85394287109375, 102.32826232910156, 174.2898406982422
00D00BCE,99123,180.1807098388672, 180.0, 180.0,0, 0, 0,0, 0, 0,-6.742476221187516e+20, 1.8747972154201728e-41, 1.8747972154201728e-41,179.7548370361328, 169.69747924804688, 153.74508666992188
000AC172,99147,182.4291229248047, 180.0, 104.49443817138672,1, 1, 0,0, 0, 0,1.0908256920749998e+18, 1.8747972154201728e-41, 27.101688385009766,175.8499298095703, 190.1763153076172, 104.78923797607422
000AC172,99153,182.43170166015625, 180.0, 104.49571228027344,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99152,0, 0, 0,0, 0, 0,0, 0, 0,8.393516289721247e-15, 1.8747972154201728e-41, 1.8747972154201728e-41,179.7548370361328, 191.18707275390625, 139.50657653808594
00D00BD2,99160,180.15863037109375, 105.33258819580078, 180.0,0, 0, 0,0, 0, 0,137009586176.0, 3.7852011428598124e+37, 1.8747972154201728e-41,178.87591552734375, 102.30628967285156, 171.147705078125
000AC172,99173,0, 0, 0,0, 0, 0,0, 0, 0,-1065259464916992.0, 1.8747972154201728e-41, -7464993.0,175.8499298095703, 172.26832580566406, 104.78923797607422
00D00BCE,99172,180.15765380859375, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99203,182.41220092773438, 180.0, 104.50743103027344,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99202,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.7328643798828, 163.1055908203125, 179.95887756347656
00D00BD2,99210,0, 0, 0,0, 0, 0,0, 0, 0,-6.235190759160503e+20, -533952548831232.0, 1.8747972154201728e-41,178.78802490234375, 102.26234436035156, 175.41046142578125
00D00BCB,99197,180.0, 179.9865264892578, 180.0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -7.441230708780708e-37, 1.8747972154201728e-41,197.9987030029297, 182.88128662109375, 150.5150604248047
00D00BCE,99212,0, 0, 0,0, 0, 0,0, 0, 0,-0.03300882503390312, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
00D00BD2,99221,180.14373779296875, 105.35247802734375, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99222,180.1453094482422, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99213,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99232,0, 0, 0,0, 0, 0,0, 0, 0,2.0373519866475955e-25, 1.8747972154201728e-41, 532175454208.0,175.8938751220703, 181.7386932373047, 104.81121063232422
00D00BCB,99223,180.0, 179.99537658691406, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99249,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.7328643798828, 179.95887756347656, 110.6560287475586
00D00BCB,99243,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.2052044051705404e+24, 1.8747972154201728e-41,180.06874084472656, 182.96917724609375, 156.99708557128906
000AC172,99263,182.42706298828125, 180.0, 104.51607513427734,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,99260,0, 0, 0,0, 0, 0,0, 0, 0,0.00016899504407774657, -5.213416709816255e+35, 1.8747972154201728e-41,178.83197021484375, 102.32826232910156, 173.16921997070312
00D00BCE,99262,0, 0, 0,0, 0, 0,0, 0, 0,-3.549503827148485e+30, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
00D00BD2,99270,180.14663696289062, 105.3050765991211, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99272,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99263,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99282,0, 0, 0,0, 0, 0,0, 0, 0,5.8722672946487364e-08, 1.8747972154201728e-41, -1.622837089598761e-06,175.8938751220703, 162.66612243652344, 104.72332000732422
00D00BCE,99282,180.14926147460938, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99273,180.0, 180.03176879882812, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99299,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.7108917236328, 170.70823669433594, 117.79725646972656
00D00BCB,99293,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -8.017403200130756e-34, 1.8747972154201728e-41,188.83596801757812, 182.90325927734375, 152.6464385986328
00D00BD2,99310,0, 0, 0,0, 0, 0,0, 0, 0,196713955328.0, 6.4180058836904585e-12, 1.8747972154201728e-41,178.87591552734375, 102.28431701660156, 161.87509155273438
000AC172,99312,182.47264099121094, 180.0, 104.50621032714844,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99312,0, 0, 0,0, 0, 0,0, 0, 0,5.676228531843883e-31, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
00D00BD2,99320,180.1645965576172, 105.3565444946289, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99313,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99329,0, 0, 0,0, 0, 1,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99332,0, 0, 0,0, 0, 0,0, 0, 0,1.2581513885208873e+24, 1.8747972154201728e-41, -5.750405567798616e+32,175.8938751220703, 178.24497985839844, 104.78923797607422
00D00BCB,99323,180.0, 180.0053253173828, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99342,180.1875, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,99349,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.7108917236328, 179.95887756347656, 137.2873077392578
00D00BCB,99343,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -3.1177755235653465e+20, 1.8747972154201728e-41,183.5185089111328, 182.90325927734375, 178.24497985839844
00D00BD2,99359,0, 0, 0,0, 0, 0,0, 0, 0,3.2580773304001045e-29, 0.0004631300107575953, 1.8747972154201728e-41,178.83197021484375, 102.24037170410156, 167.58807373046875
00D00BCE,99362,0, 0, 0,0, 0, 0,0, 0, 0,9.400907022441307e-27, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
00D00BD2,99369,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99372,182.48081970214844, 180.0, 104.50177001953125,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99363,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,99379,180.17405700683594, 105.30962371826172, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99382,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,175.8499298095703, 173.8284149169922, 104.78923797607422
00D00BCE,99381,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,99373,180.0, 179.9751434326172, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,99392,0, 0, 0,0, 0, 0,0, 0, 0,73128239104.0, 1.8747972154201728e-41, 1.2824760319947571e+17,0, 0, 0
00D00BCE,99401,180.20594787597656, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,179.7328643798828, 176.4651641845703, 127.57524108886719
00D00BCB,99391,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 3.514203924994557e-27, 1.8747972154201728e-41,198.19647216796875, 182.85931396484375, 170.26878356933594
00D00BD2,99409,0, 0, 0,0, 0, 0,0, 0, 0,-3.6287319896627495e+30, -6.130700747867085e+32, 1.8747972154201728e-41,178.87591552734375, 102.26234436035156, 171.82887268066406
00D00BCE,99412,0, 0, 0,0, 0, 0,0, 0, 0,-3.141154841525903e-39, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
