Name, time, ang1, ang2, ang3, edg1, edg2, edg3, orn1, orn2, orn3, vel1, vel2, vel3, fang1, fang2, fang3
000AC172,400125,0, 0, 0,0, 0, 0,0, 0, 0,-2.962254490942225e-29, 1.8747972154201728e-41, 4.368821899566811e-36,0, 0, 0
00D00BCB,400121,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,200.87716674804688, 182.88128662109375, 174.94903564453125
00D00BD2,400138,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,400145,180.0174560546875, 180.0, 106.45338439941406,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,400148,180.70912170410156, 106.45684814453125, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,400147,0, 0, 0,0, 0, 0,0, 0, 0,-2.745669628591354e-31, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
000AC172,400155,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,175.8499298095703, 170.70823669433594, 105.97578430175781
00D00BCB,400141,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8320907813740696e-33, 1.8747972154201728e-41,0, 0, 0
00D00BD2,400158,0, 0, 0,0, 0, 0,0, 0, 0,1.1532729447737643e-15, 9.337860683444887e-05, 1.8747972154201728e-41,179.2714385986328, 103.38297271728516, 165.23696899414062
00D00BCE,400156,180.68368530273438, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,180.12838745117188, 170.70823669433594, 109.97486877441406
00D00BCB,400161,180.0, 180.02676391601562, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,400168,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,196.65835571289062, 182.88128662109375, 144.42852783203125
000AC172,400185,0, 0, 0,0, 0, 0,0, 0, 0,1.2941396855091768e-16, 1.8747972154201728e-41, -1501770809344.0,0, 0, 0
00D00BD2,400188,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,400194,0, 0, 0,0, 0, 1,0, 0, 0,-0.08994343131780624, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
00D00BD2,400197,180.68284606933594, 106.44405364990234, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,400201,0, 0, 0,0, 0, 1,0, 0, 0,0, 0, 0,175.8059844970703, 172.04859924316406, 105.90986633300781
00D00BCB,400191,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -1.2941396855091768e-16, 1.8747972154201728e-41,0, 0, 0
00D00BCE,400206,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,180.17233276367188, 175.6741485595703, 106.89865112304688
00D00BD2,400207,0, 0, 0,0, 0, 0,0, 0, 0,-88622917222400.0, 2.0855289432033312e+36, 1.8747972154201728e-41,179.3373565673828, 103.31704711914062, 182.2880096435547
00D00BCB,400201,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,400215,180.01394653320312, 180.0, 106.4286880493164,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,400226,180.68896484375, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,400235,0, 0, 0,0, 0, 0,0, 0, 0,-1.78516087821792e+29, 1.8747972154201728e-41, -6522.5322265625,0, 0, 0
00D00BCB,400221,180.0, 180.03897094726562, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,201.31663513183594, 182.85931396484375, 183.29876708984375
00D00BD2,400237,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,400247,180.68736267089844, 106.431396484375, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,400246,0, 0, 0,0, 0, 0,0, 0, 0,2.4790791216254965e+37, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
000AC172,400255,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,175.9158477783203, 164.90736389160156, 105.99775695800781
