Name, time, ang1, ang2, ang3, edg1, edg2, edg3, orn1, orn2, orn3, vel1, vel2, vel3, fang1, fang2, fang3
00D00BCB,251334,180.0, 180.0418701171875, 180.0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 7.591353349323632e+35, 1.8747972154201728e-41,154.42625427246094, 182.90325927734375, 167.58807373046875
00D00BCB,251352,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,188.61624145507812, 182.92523193359375, 166.2477264404297
00D00BCB,251362,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -4.648593201437607e+28, 1.8747972154201728e-41,0, 0, 0
00D00BCB,251372,180.0, 180.0498504638672, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCB,251402,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,195.31800842285156, 182.90325927734375, 165.23696899414062
000AC172,251414,180.02182006835938, 180.0, 105.02921295166016,0, 0, 0,0, 0, 0,1.0322092806798539e-34, 1.8747972154201728e-41, -4.4119829093254725e-28,175.8719024658203, 181.7386932373047, 104.39373016357422
00D00BCB,251412,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, -9229.0654296875, 1.8747972154201728e-41,0, 0, 0
00D00BCB,251422,180.0, 180.03634643554688, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,251442,180.01876831054688, 180.0, 105.01841735839844,0, 0, 0,0, 0, 0,-1.6480918315869403e-36, 1.8747972154201728e-41, 0.00011912222544196993,175.8279571533203, 173.16921997070312, 104.37175750732422
00D00BCB,251452,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,167.58807373046875, 182.85931396484375, 158.6670379638672
00D00BCB,251463,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 0.1320353001356125, 1.8747972154201728e-41,0, 0, 0
000AC172,251492,180.02430725097656, 180.0, 105.01781463623047,0, 0, 0,0, 0, 0,6.991325385228512e-33, 1.8747972154201728e-41, -1.3613110157062963e+17,175.8059844970703, 177.58580017089844, 104.34977722167969
