Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.011688,0.003946,0.000707,-54.940266,96.312439,15.645926,0.000665,0.001038,0.002388,-0.628749,-0.715802,1.024770,0.025796,-1.326358,-0.031648,7.359111,99.624863,78.644524
2,0,0.011703,0.003927,0.000766,-54.945610,96.311768,15.639690,-0.000545,0.000313,0.002819,-0.646701,-0.833490,0.683779,0.019840,-1.328269,-0.034454,7.468951,99.584930,78.554817
3,0,0.011737,0.003938,0.000685,-54.945740,96.314278,15.635833,-0.000527,0.000315,0.002810,-0.644195,-0.833483,0.682283,0.019967,-1.328287,-0.034402,7.465418,99.583664,78.544533
4,0,0.011734,0.003874,0.000706,-54.943939,96.313530,15.629616,-0.000506,0.000362,0.002787,-0.640477,-0.824828,0.691501,0.020013,-1.328339,-0.034362,7.461714,99.584816,78.546288
5,0,0.011656,0.003927,0.000727,-54.943924,96.313721,15.636543,-0.000599,0.000361,0.002814,-0.649841,-0.832854,0.681180,0.020074,-1.328341,-0.034368,7.463036,99.589600,78.552109
6,0,0.011815,0.003947,0.000678,-54.939884,96.313576,15.643927,-0.000665,0.000450,0.002805,-0.644894,-0.827633,0.700072,0.019870,-1.328283,-0.034392,7.466249,99.584770,78.557747
7,0,0.011801,0.003926,0.000706,-54.939060,96.313332,15.647350,-0.000616,0.000406,0.002801,-0.643876,-0.828103,0.699849,0.019832,-1.328326,-0.034369,7.465826,99.579727,78.558472
8,0,0.011673,0.003890,0.000704,-54.935799,96.308235,15.648994,0.000728,0.000984,0.002394,-0.624010,-0.715049,1.018217,0.019982,-1.328324,-0.034372,7.464058,99.583359,78.561661
9,0,0.011744,0.003897,0.000681,-54.939098,96.313980,15.639171,-0.000517,0.000411,0.002801,-0.639236,-0.828567,0.704879,0.016187,-1.328624,-0.036354,7.635063,99.571938,78.445114
10,0,0.011697,0.003863,0.000701,-54.938625,96.312027,15.633613,-0.000531,0.000332,0.002789,-0.636916,-0.829971,0.682936,0.019892,-1.328413,-0.034396,7.473454,99.582718,78.541412
11,0,0.011756,0.003860,0.000628,-54.936207,96.310371,15.628914,-0.000655,0.000415,0.002788,-0.638899,-0.827975,0.676653,0.019933,-1.328335,-0.034378,7.474227,99.584755,78.541862
12,0,0.011803,0.003819,0.000674,-54.941875,96.313560,15.628697,-0.000545,0.000376,0.002793,-0.641544,-0.825686,0.687170,0.016084,-1.328607,-0.036484,7.635091,99.575516,78.438454
13,0,0.011772,0.003929,0.000679,-54.942314,96.316071,15.637941,-0.000701,0.000439,0.002822,-0.644608,-0.832729,0.683716,0.019922,-1.328307,-0.034395,7.468106,99.589394,78.549950
14,0,0.011697,0.003869,0.000688,-54.940933,96.314850,15.649114,-0.000531,0.000384,0.002798,-0.643602,-0.827238,0.708783,0.020066,-1.328359,-0.034310,7.467744,99.584755,78.560837
15,0,0.011734,0.003830,0.000668,-54.940342,96.318245,15.652119,-0.000592,0.000397,0.002818,-0.649639,-0.829061,0.704017,0.016254,-1.328532,-0.036380,7.625284,99.576256,78.459885
16,0,0.011691,0.003892,0.000675,-54.946529,96.314011,15.647266,-0.000648,0.000387,0.002829,-0.650745,-0.834391,0.687388,0.019955,-1.328300,-0.034364,7.461484,99.584312,78.558182
17,0,0.011649,0.003871,0.000632,-54.946922,96.314926,15.638963,-0.000639,0.000388,0.002768,-0.645474,-0.822600,0.686137,0.019971,-1.328279,-0.034355,7.460814,99.585373,78.556519
18,0,0.011727,0.003913,0.000662,-54.947311,96.313667,15.626796,0.000645,0.001014,0.002413,-0.637312,-0.717437,1.003108,0.016369,-1.328590,-0.036331,7.625867,99.573013,78.443352
19,0,0.011739,0.003898,0.000708,-54.945343,96.313484,15.633585,-0.000675,0.000402,0.002803,-0.646344,-0.831987,0.679255,0.016321,-1.328573,-0.036322,7.621577,99.573936,78.448662
20,0,0.011658,0.003834,0.000688,-54.941074,96.309769,15.644379,-0.000574,0.000341,0.002808,-0.647668,-0.831267,0.687982,0.020046,-1.328193,-0.034370,7.463980,99.580925,78.558128
21,0,0.011607,0.003861,0.000666,-54.942566,96.310837,15.651172,0.000632,0.001065,0.002389,-0.628227,-0.713643,1.028259,0.019958,-1.328218,-0.034328,7.457528,99.583000,78.571815
22,0,0.011655,0.003844,0.000704,-54.944870,96.313652,15.652655,0.000671,0.001007,0.002421,-0.629317,-0.716534,1.022547,0.016260,-1.328547,-0.036406,7.629298,99.575371,78.458168
23,0,0.011682,0.003859,0.000732,-54.944469,96.319588,15.644114,-0.000494,0.000333,0.002809,-0.647316,-0.826902,0.699649,0.020046,-1.328291,-0.034382,7.461088,99.589539,78.559105
24,0,0.011761,0.004039,0.000690,-54.944302,96.317696,15.633780,-0.000528,0.000346,0.002852,-0.652987,-0.834951,0.687592,0.016065,-1.328593,-0.036390,7.633199,99.576668,78.438522
