Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.003270,0.006708,0.003350,-54.984486,96.333298,15.567314,0.002198,0.001535,0.002885,-0.736021,-0.780037,1.342260,0.017683,-1.291525,-0.024070,9.660106,100.292198,78.102859
2,0,0.003254,0.006727,0.003325,-54.983192,96.332787,15.558438,0.002223,0.001523,0.002866,-0.732620,-0.777326,1.336140,0.017295,-1.291475,-0.024434,9.660657,100.295448,78.106087
3,0,0.003094,0.006667,0.003280,-54.981098,96.334702,15.555333,0.002109,0.001556,0.002915,-0.735665,-0.783319,1.327085,0.017227,-1.291524,-0.024407,9.665467,100.295639,78.102188
4,0,0.003362,0.006745,0.003342,-55.056038,96.396919,15.578864,0.002177,0.001553,0.002871,-0.729066,-0.777683,1.331714,0.017388,-1.291470,-0.024374,9.662199,100.294907,78.098312
5,0,0.003211,0.006613,0.003286,-54.977413,96.334885,15.548135,0.002039,0.001564,0.002878,-0.733781,-0.779183,1.318435,0.017526,-1.291505,-0.024405,9.666668,100.294220,78.093369
6,0,0.003447,0.006795,0.003256,-54.981388,96.332870,15.549751,0.002167,0.001549,0.002887,-0.734658,-0.779532,1.331089,0.017584,-1.291516,-0.024345,9.663256,100.295227,78.100174
7,0,0.003199,0.006677,0.003322,-54.976276,96.330521,15.550639,0.002113,0.001561,0.002910,-0.737241,-0.785321,1.328147,0.017374,-1.291560,-0.024421,9.663388,100.296638,78.097878
8,0,0.003351,0.006913,0.003359,-55.057892,96.396690,15.584842,0.002152,0.001550,0.002877,-0.733100,-0.778576,1.330418,0.017500,-1.291492,-0.024293,9.659143,100.295151,78.102043
9,0,0.003274,0.006716,0.003359,-54.980610,96.334625,15.552552,0.002237,0.001511,0.002867,-0.728156,-0.775415,1.333335,0.017476,-1.291476,-0.024260,9.656638,100.297897,78.096451
10,0,0.003343,0.006669,0.003415,-55.058147,96.400803,15.585861,0.002201,0.001528,0.002893,-0.736726,-0.780971,1.331710,0.017731,-1.291440,-0.024194,9.655660,100.296066,78.108131
11,0,0.003294,0.006834,0.003315,-54.982670,96.335411,15.560390,0.002187,0.001514,0.002897,-0.735276,-0.781927,1.329728,0.017296,-1.291539,-0.024304,9.664440,100.291801,78.100731
12,0,0.003357,0.006930,0.003359,-55.061295,96.401176,15.590943,0.002089,0.001572,0.002909,-0.741680,-0.784074,1.333214,0.010046,-1.286703,-0.028411,9.522028,100.279533,78.176743
13,0,0.003193,0.006693,0.003331,-54.982342,96.330315,15.563690,0.002115,0.001595,0.002877,-0.737440,-0.779239,1.348529,0.010372,-1.287001,-0.028346,9.536283,100.280800,78.175690
