Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.003196,0.006640,0.003428,-54.971226,96.337799,15.546485,0.002150,0.001650,0.002753,-0.701369,-0.739076,1.345389,0.007508,-1.319342,-0.032446,8.123457,100.177773,78.237129
2,0,0.003227,0.006921,0.003341,-54.972755,96.338234,15.545915,0.002090,0.001679,0.002759,-0.704553,-0.746203,1.349987,0.010718,-1.320507,-0.030285,8.282615,100.167130,78.119209
3,0,0.003321,0.006739,0.003363,-54.972099,96.336304,15.546494,0.002162,0.001643,0.002752,-0.705562,-0.745053,1.353377,0.010513,-1.320541,-0.030383,8.280892,100.165184,78.119751
4,0,0.003356,0.006866,0.003399,-54.973270,96.338135,15.552173,0.002141,0.001636,0.002751,-0.706711,-0.742119,1.354775,0.010897,-1.320561,-0.030185,8.284370,100.166733,78.125473
5,0,0.003177,0.006758,0.003317,-54.971741,96.336082,15.556113,0.002175,0.001631,0.002728,-0.701365,-0.735241,1.355323,0.013317,-1.320230,-0.028966,8.165410,100.178566,78.209908
6,0,0.003389,0.006806,0.003432,-54.972469,96.336006,15.555621,0.002873,0.002060,0.001719,-0.536969,-0.529466,1.545675,0.007603,-1.319293,-0.032337,8.121630,100.179001,78.246590
7,0,0.003336,0.006805,0.003338,-54.971775,96.338448,15.547730,0.002039,0.001722,0.002778,-0.706529,-0.747949,1.344779,0.007456,-1.319320,-0.032332,8.122382,100.179619,78.238708
8,0,0.003279,0.006667,0.003419,-54.971855,96.338715,15.539413,0.002204,0.001634,0.002740,-0.702929,-0.739790,1.344200,0.010047,-1.319243,-0.031043,8.021730,100.184189,78.291328
9,0,0.003245,0.006749,0.003367,-54.976196,96.337608,15.537359,0.002196,0.001610,0.002772,-0.713133,-0.747115,1.337167,0.007443,-1.319318,-0.032476,8.116760,100.181656,78.227310
10,0,0.003180,0.006718,0.003389,-54.973045,96.334290,15.548157,0.002055,0.001724,0.002763,-0.708372,-0.744943,1.352847,0.009999,-1.319212,-0.031038,8.023854,100.183678,78.300331
11,0,0.003209,0.006739,0.003432,-54.972145,96.338966,15.562286,0.001936,0.001728,0.001225,-0.512016,-0.386503,1.350329,0.007321,-1.319406,-0.032434,8.119295,100.176903,78.245720
12,0,0.003324,0.006867,0.003494,-54.974712,96.337433,15.566417,0.002218,0.001591,0.002767,-0.707869,-0.747148,1.366286,0.007391,-1.319380,-0.032395,8.123750,100.174988,78.249710
13,0,0.003228,0.006765,0.003440,-54.972340,96.332626,15.562194,0.002203,0.001603,0.002765,-0.708460,-0.748063,1.361637,0.010754,-1.320583,-0.030241,8.284173,100.164543,78.136871
14,0,0.003234,0.006811,0.003405,-54.970623,96.337868,15.555766,0.002161,0.001656,0.002759,-0.704125,-0.746487,1.360124,0.010736,-1.320525,-0.030255,8.284386,100.165665,78.128716
15,0,0.003201,0.006818,0.003341,-54.971603,96.340225,15.550079,0.002076,0.001677,0.002760,-0.702843,-0.742602,1.341420,0.007533,-1.319442,-0.032400,8.131215,100.179199,78.231850
16,0,0.003300,0.006833,0.003407,-54.970345,96.340797,15.538367,0.002309,0.001568,0.002751,-0.702116,-0.743776,1.343126,0.007391,-1.319361,-0.032406,8.129112,100.176987,78.224411
17,0,0.003102,0.006777,0.003352,-54.969170,96.331665,15.537596,0.002109,0.001654,0.002744,-0.701497,-0.740846,1.337481,0.010580,-1.320554,-0.030293,8.282499,100.167839,78.110489
